{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  15  139    0.9540  0.1700  0.1675
  -4.583 -4.013  5  15  245    0.9904 -0.0882  0.0078
  -4.013 -3.839  5  15  292    0.9991  0.0190  0.0076
  -3.839 -3.489  5  15  414    1.0808 -0.0799 -0.5000
  -3.489 -3.314  5  15  493    1.0721 -0.0641 -0.5000
  -3.314 -3.139  5  15  588    0.9301  0.2823  0.4999
  -3.139 -2.964  5  15  700    0.9806 -0.0110 -0.5000
  -2.964 -2.853  5  15  781    0.7605  0.3549  0.5000
  -2.853 -2.650  5  15  956    0.7798  0.1719  0.2558
  -2.650 -2.500  5  15 1108    0.8338  0.0941  0.1212
  -2.500 -2.322  5  15 1321    0.8502  0.1410  0.2391
  -2.322 -2.172  5  15 1529    0.9651  0.0246 -0.2084
  -2.172 -1.930  5  15 1933    0.9745  0.0019 -0.3108
  -1.930 -1.653  5  15 2511    0.9686  0.0101 -0.2256
  -1.653 -1.479  5  15 2946    0.9637  0.0090 -0.1564
  -1.479 -1.305  5  15 3435    0.9712  0.0263 -0.0375
  -1.305 -1.044  5  15 4259    0.9923  0.0157 -0.0297
  -1.044 -0.783  5  15 5141    0.9929  0.0054  0.0029
  -0.783 -0.522  5  15 5968    1.0026 -0.0009  0.0126
  -0.522 -0.261  5  15 6574    1.0038 -0.0040  0.0213
  -0.261 -0.000  5  15 6800    1.0042 -0.0087  0.0146
  +0.000 +0.261  5  15 6800    1.0042 -0.0087  0.0146
  +0.261 +0.522  5  15 6574    1.0038 -0.0040  0.0213
  +0.522 +0.783  5  15 5968    1.0026 -0.0009  0.0126
  +0.783 +1.044  5  15 5141    0.9929  0.0054  0.0029
  +1.044 +1.305  5  15 4259    0.9923  0.0157 -0.0297
  +1.305 +1.479  5  15 3435    0.9712  0.0263 -0.0375
  +1.479 +1.653  5  15 2946    0.9637  0.0090 -0.1564
  +1.653 +1.930  5  15 2511    0.9686  0.0101 -0.2256
  +1.930 +2.172  5  15 1933    0.9745  0.0019 -0.3108
  +2.172 +2.322  5  15 1529    0.9651  0.0246 -0.2084
  +2.322 +2.500  5  15 1321    0.8502  0.1410  0.2391
  +2.500 +2.650  5  15 1108    0.8338  0.0941  0.1212
  +2.650 +2.853  5  15  956    0.7798  0.1719  0.2558
  +2.853 +2.964  5  15  781    0.7605  0.3549  0.5000
  +2.964 +3.139  5  15  700    0.9806 -0.0110 -0.5000
  +3.139 +3.314  5  15  588    0.9301  0.2823  0.4999
  +3.314 +3.489  5  15  493    1.0721 -0.0641 -0.5000
  +3.489 +3.839  5  15  414    1.0808 -0.0799 -0.5000
  +3.839 +4.013  5  15  292    0.9991  0.0190  0.0076
  +4.013 +4.583  5  15  245    0.9904 -0.0882  0.0078
  +4.583 +5.191  5  15  139    0.9540  0.1700  0.1675
