{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  15  139    0.9537 -0.2939 -0.5000
  -4.583 -4.013  5  15  245    0.8532  0.4564  0.0075
  -4.013 -3.839  5  15  292    0.9898 -0.2167  0.0071
  -3.839 -3.489  5  15  414    1.0836  0.0781 -0.5000
  -3.489 -3.314  5  15  493    1.0604 -0.0879 -0.5000
  -3.314 -3.139  5  15  588    0.9205  0.2916  0.5000
  -3.139 -2.964  5  15  700    0.8618  0.1975  0.5000
  -2.964 -2.853  5  15  781    0.7520  0.3464  0.5000
  -2.853 -2.650  5  15  956    0.7598  0.2446  0.3825
  -2.650 -2.500  5  15 1108    0.8287  0.1197  0.1323
  -2.500 -2.322  5  15 1321    0.8295  0.1628  0.4413
  -2.322 -2.172  5  15 1529    0.9667  0.0226 -0.2154
  -2.172 -1.930  5  15 1933    0.9743  0.0018 -0.2959
  -1.930 -1.653  5  15 2511    0.9720  0.0062 -0.2301
  -1.653 -1.479  5  15 2946    0.9664  0.0058 -0.1644
  -1.479 -1.305  5  15 3435    0.9763  0.0209 -0.0561
  -1.305 -1.044  5  15 4259    0.9923  0.0154 -0.0306
  -1.044 -0.783  5  15 5141    0.9933  0.0050  0.0031
  -0.783 -0.522  5  15 5968    1.0030 -0.0013  0.0106
  -0.522 -0.261  5  15 6574    1.0046 -0.0047  0.0161
  -0.261 -0.000  5  15 6800    1.0034 -0.0076  0.0185
  +0.000 +0.261  5  15 6800    1.0034 -0.0076  0.0185
  +0.261 +0.522  5  15 6574    1.0046 -0.0047  0.0161
  +0.522 +0.783  5  15 5968    1.0030 -0.0013  0.0106
  +0.783 +1.044  5  15 5141    0.9933  0.0050  0.0031
  +1.044 +1.305  5  15 4259    0.9923  0.0154 -0.0306
  +1.305 +1.479  5  15 3435    0.9763  0.0209 -0.0561
  +1.479 +1.653  5  15 2946    0.9664  0.0058 -0.1644
  +1.653 +1.930  5  15 2511    0.9720  0.0062 -0.2301
  +1.930 +2.172  5  15 1933    0.9743  0.0018 -0.2959
  +2.172 +2.322  5  15 1529    0.9667  0.0226 -0.2154
  +2.322 +2.500  5  15 1321    0.8295  0.1628  0.4413
  +2.500 +2.650  5  15 1108    0.8287  0.1197  0.1323
  +2.650 +2.853  5  15  956    0.7598  0.2446  0.3825
  +2.853 +2.964  5  15  781    0.7520  0.3464  0.5000
  +2.964 +3.139  5  15  700    0.8618  0.1975  0.5000
  +3.139 +3.314  5  15  588    0.9205  0.2916  0.5000
  +3.314 +3.489  5  15  493    1.0604 -0.0879 -0.5000
  +3.489 +3.839  5  15  414    1.0836  0.0781 -0.5000
  +3.839 +4.013  5  15  292    0.9898 -0.2167  0.0071
  +4.013 +4.583  5  15  245    0.8532  0.4564  0.0075
  +4.583 +5.191  5  15  139    0.9537 -0.2939 -0.5000
