{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  15  139    0.9537 -0.2939 -0.5000
  -4.583 -4.013  5  15  245    1.0000 -0.0100  0.0200
  -4.013 -3.839  5  15  292    1.0000 -0.0100  0.0200
  -3.839 -3.489  5  15  414    1.0000 -0.0100  0.0200
  -3.489 -3.314  5  15  493    1.0000 -0.0100  0.0200
  -3.314 -3.139  5  15  588    1.0000 -0.0100  0.0200
  -3.139 -2.964  5  15  700    1.0000 -0.0100  0.0200
  -2.964 -2.853  5  15  781    1.0000 -0.0100  0.0200
  -2.853 -2.650  5  15  956    1.0000 -0.0100  0.0200
  -2.650 -2.500  5  15 1108    0.9783 -0.1929  0.4140
  -2.500 -2.322  5  15 1321    0.8284  0.1639  0.4552
  -2.322 -2.172  5  15 1529    0.9661  0.0234 -0.2129
  -2.172 -1.930  5  15 1933    0.9736  0.0024 -0.2918
  -1.930 -1.653  5  15 2511    0.9711  0.0070 -0.2226
  -1.653 -1.479  5  15 2946    0.9667  0.0047 -0.1730
  -1.479 -1.305  5  15 3435    0.9749  0.0223 -0.0512
  -1.305 -1.044  5  15 4259    0.9921  0.0156 -0.0298
  -1.044 -0.783  5  15 5141    0.9934  0.0052  0.0016
  -0.783 -0.522  5  15 5968    1.0024 -0.0005  0.0145
  -0.522 -0.261  5  15 6574    1.0041 -0.0042  0.0193
  -0.261 -0.000  5  15 6800    1.0037 -0.0080  0.0189
  +0.000 +0.261  5  15 6800    1.0037 -0.0080  0.0189
  +0.261 +0.522  5  15 6574    1.0041 -0.0042  0.0193
  +0.522 +0.783  5  15 5968    1.0024 -0.0005  0.0145
  +0.783 +1.044  5  15 5141    0.9934  0.0052  0.0016
  +1.044 +1.305  5  15 4259    0.9921  0.0156 -0.0298
  +1.305 +1.479  5  15 3435    0.9749  0.0223 -0.0512
  +1.479 +1.653  5  15 2946    0.9667  0.0047 -0.1730
  +1.653 +1.930  5  15 2511    0.9711  0.0070 -0.2226
  +1.930 +2.172  5  15 1933    0.9736  0.0024 -0.2918
  +2.172 +2.322  5  15 1529    0.9661  0.0234 -0.2129
  +2.322 +2.500  5  15 1321    0.8284  0.1639  0.4552
  +2.500 +2.650  5  15 1108    0.9783 -0.1929  0.4140
  +2.650 +2.853  5  15  956    1.0000 -0.0100  0.0200
  +2.853 +2.964  5  15  781    1.0000 -0.0100  0.0200
  +2.964 +3.139  5  15  700    1.0000 -0.0100  0.0200
  +3.139 +3.314  5  15  588    1.0000 -0.0100  0.0200
  +3.314 +3.489  5  15  493    1.0000 -0.0100  0.0200
  +3.489 +3.839  5  15  414    1.0000 -0.0100  0.0200
  +3.839 +4.013  5  15  292    1.0000 -0.0100  0.0200
  +4.013 +4.583  5  15  245    1.0000 -0.0100  0.0200
  +4.583 +5.191  5  15  139    0.9537 -0.2939 -0.5000
