{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  15  139    0.9537 -0.2939 -0.5000
  -4.583 -4.013  5  15  245    0.9110  0.5322  0.0082
  -4.013 -3.839  5  15  292    0.9381  0.2768  0.0077
  -3.839 -3.489  5  15  414    1.0495 -0.1765  0.0071
  -3.489 -3.314  5  15  493    1.0194  0.1480  0.0078
  -3.314 -3.139  5  15  588    0.9501  0.3854  0.0073
  -3.139 -2.964  5  15  700    1.0036 -0.1007 -0.5000
  -2.964 -2.853  5  15  781    0.9473 -0.1272 -0.5000
  -2.853 -2.650  5  15  956    0.8340 -0.0258  0.5000
  -2.650 -2.500  5  15 1108    0.8390  0.0507  0.5000
  -2.500 -2.322  5  15 1321    0.8326  0.1592  0.4006
  -2.322 -2.172  5  15 1529    0.9641  0.0254 -0.2006
  -2.172 -1.930  5  15 1933    0.9730  0.0032 -0.2888
  -1.930 -1.653  5  15 2511    0.9698  0.0085 -0.2164
  -1.653 -1.479  5  15 2946    0.9664  0.0051 -0.1719
  -1.479 -1.305  5  15 3435    0.9750  0.0223 -0.0563
  -1.305 -1.044  5  15 4259    0.9920  0.0157 -0.0306
  -1.044 -0.783  5  15 5141    0.9934  0.0051  0.0005
  -0.783 -0.522  5  15 5968    1.0026 -0.0007  0.0122
  -0.522 -0.261  5  15 6574    1.0044 -0.0044  0.0181
  -0.261 -0.000  5  15 6800    1.0036 -0.0079  0.0211
  +0.000 +0.261  5  15 6800    1.0036 -0.0079  0.0211
  +0.261 +0.522  5  15 6574    1.0044 -0.0044  0.0181
  +0.522 +0.783  5  15 5968    1.0026 -0.0007  0.0122
  +0.783 +1.044  5  15 5141    0.9934  0.0051  0.0005
  +1.044 +1.305  5  15 4259    0.9920  0.0157 -0.0306
  +1.305 +1.479  5  15 3435    0.9750  0.0223 -0.0563
  +1.479 +1.653  5  15 2946    0.9664  0.0051 -0.1719
  +1.653 +1.930  5  15 2511    0.9698  0.0085 -0.2164
  +1.930 +2.172  5  15 1933    0.9730  0.0032 -0.2888
  +2.172 +2.322  5  15 1529    0.9641  0.0254 -0.2006
  +2.322 +2.500  5  15 1321    0.8326  0.1592  0.4006
  +2.500 +2.650  5  15 1108    0.8390  0.0507  0.5000
  +2.650 +2.853  5  15  956    0.8340 -0.0258  0.5000
  +2.853 +2.964  5  15  781    0.9473 -0.1272 -0.5000
  +2.964 +3.139  5  15  700    1.0036 -0.1007 -0.5000
  +3.139 +3.314  5  15  588    0.9501  0.3854  0.0073
  +3.314 +3.489  5  15  493    1.0194  0.1480  0.0078
  +3.489 +3.839  5  15  414    1.0495 -0.1765  0.0071
  +3.839 +4.013  5  15  292    0.9381  0.2768  0.0077
  +4.013 +4.583  5  15  245    0.9110  0.5322  0.0082
  +4.583 +5.191  5  15  139    0.9537 -0.2939 -0.5000
