{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  15  139    0.9758 -0.1735 -0.4783
  -4.583 -4.013  5  15  245    0.7491  0.7786  0.0085
  -4.013 -3.839  5  15  292    0.9664 -0.0412  0.0070
  -3.839 -3.489  5  15  414    0.9688 -0.0419  0.5000
  -3.489 -3.314  5  15  493    1.0591 -0.0607 -0.4999
  -3.314 -3.139  5  15  588    0.9291  0.1908  0.4595
  -3.139 -2.964  5  15  700    0.9454  0.1267 -0.5000
  -2.964 -2.853  5  15  781    0.7603  0.3600  0.5000
  -2.853 -2.650  5  15  956    0.7619  0.2566  0.3873
  -2.650 -2.500  5  15 1108    0.8230  0.1976  0.2954
  -2.500 -2.322  5  15 1321    0.9181  0.0374 -0.1547
  -2.322 -2.172  5  15 1529    0.9783  0.0172 -0.3170
  -2.172 -1.930  5  15 1933    1.0049 -0.0355 -0.5000
  -1.930 -1.653  5  15 2511    0.9718  0.0123 -0.2112
  -1.653 -1.479  5  15 2946    0.9644  0.0086 -0.1492
  -1.479 -1.305  5  15 3435    0.9756  0.0177 -0.0742
  -1.305 -1.044  5  15 4259    0.9877  0.0170 -0.0222
  -1.044 -0.783  5  15 5141    0.9908  0.0078  0.0097
  -0.783 -0.522  5  15 5968    1.0029 -0.0003  0.0017
  -0.522 -0.261  5  15 6574    1.0070 -0.0068  0.0080
  -0.261 -0.000  5  15 6800    1.0064 -0.0096  0.0182
  +0.000 +0.261  5  15 6800    1.0064 -0.0096  0.0182
  +0.261 +0.522  5  15 6574    1.0070 -0.0068  0.0080
  +0.522 +0.783  5  15 5968    1.0029 -0.0003  0.0017
  +0.783 +1.044  5  15 5141    0.9908  0.0078  0.0097
  +1.044 +1.305  5  15 4259    0.9877  0.0170 -0.0222
  +1.305 +1.479  5  15 3435    0.9756  0.0177 -0.0742
  +1.479 +1.653  5  15 2946    0.9644  0.0086 -0.1492
  +1.653 +1.930  5  15 2511    0.9718  0.0123 -0.2112
  +1.930 +2.172  5  15 1933    1.0049 -0.0355 -0.5000
  +2.172 +2.322  5  15 1529    0.9783  0.0172 -0.3170
  +2.322 +2.500  5  15 1321    0.9181  0.0374 -0.1547
  +2.500 +2.650  5  15 1108    0.8230  0.1976  0.2954
  +2.650 +2.853  5  15  956    0.7619  0.2566  0.3873
  +2.853 +2.964  5  15  781    0.7603  0.3600  0.5000
  +2.964 +3.139  5  15  700    0.9454  0.1267 -0.5000
  +3.139 +3.314  5  15  588    0.9291  0.1908  0.4595
  +3.314 +3.489  5  15  493    1.0591 -0.0607 -0.4999
  +3.489 +3.839  5  15  414    0.9688 -0.0419  0.5000
  +3.839 +4.013  5  15  292    0.9664 -0.0412  0.0070
  +4.013 +4.583  5  15  245    0.7491  0.7786  0.0085
  +4.583 +5.191  5  15  139    0.9758 -0.1735 -0.4783
