{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  15  139    0.9758 -0.1735 -0.4783
  -4.583 -4.013  5  15  245    1.0000 -0.0100  0.0200
  -4.013 -3.839  5  15  292    1.0000 -0.0100  0.0200
  -3.839 -3.489  5  15  414    1.0000 -0.0100  0.0200
  -3.489 -3.314  5  15  493    1.0000 -0.0100  0.0200
  -3.314 -3.139  5  15  588    1.0000 -0.0100  0.0200
  -3.139 -2.964  5  15  700    1.0000 -0.0100  0.0200
  -2.964 -2.853  5  15  781    1.0000 -0.0100  0.0200
  -2.853 -2.650  5  15  956    1.0000 -0.0100  0.0200
  -2.650 -2.500  5  15 1108    1.0459 -0.1218 -0.5000
  -2.500 -2.322  5  15 1321    0.9185  0.0368 -0.1580
  -2.322 -2.172  5  15 1529    0.9778  0.0179 -0.3127
  -2.172 -1.930  5  15 1933    1.0043 -0.0348 -0.5000
  -1.930 -1.653  5  15 2511    0.9707  0.0136 -0.2050
  -1.653 -1.479  5  15 2946    0.9635  0.0096 -0.1501
  -1.479 -1.305  5  15 3435    0.9730  0.0205 -0.0651
  -1.305 -1.044  5  15 4259    0.9875  0.0173 -0.0217
  -1.044 -0.783  5  15 5141    0.9902  0.0084  0.0120
  -0.783 -0.522  5  15 5968    1.0018  0.0008  0.0076
  -0.522 -0.261  5  15 6574    1.0070 -0.0068  0.0093
  -0.261 -0.000  5  15 6800    1.0060 -0.0094  0.0250
  +0.000 +0.261  5  15 6800    1.0060 -0.0094  0.0250
  +0.261 +0.522  5  15 6574    1.0070 -0.0068  0.0093
  +0.522 +0.783  5  15 5968    1.0018  0.0008  0.0076
  +0.783 +1.044  5  15 5141    0.9902  0.0084  0.0120
  +1.044 +1.305  5  15 4259    0.9875  0.0173 -0.0217
  +1.305 +1.479  5  15 3435    0.9730  0.0205 -0.0651
  +1.479 +1.653  5  15 2946    0.9635  0.0096 -0.1501
  +1.653 +1.930  5  15 2511    0.9707  0.0136 -0.2050
  +1.930 +2.172  5  15 1933    1.0043 -0.0348 -0.5000
  +2.172 +2.322  5  15 1529    0.9778  0.0179 -0.3127
  +2.322 +2.500  5  15 1321    0.9185  0.0368 -0.1580
  +2.500 +2.650  5  15 1108    1.0459 -0.1218 -0.5000
  +2.650 +2.853  5  15  956    1.0000 -0.0100  0.0200
  +2.853 +2.964  5  15  781    1.0000 -0.0100  0.0200
  +2.964 +3.139  5  15  700    1.0000 -0.0100  0.0200
  +3.139 +3.314  5  15  588    1.0000 -0.0100  0.0200
  +3.314 +3.489  5  15  493    1.0000 -0.0100  0.0200
  +3.489 +3.839  5  15  414    1.0000 -0.0100  0.0200
  +3.839 +4.013  5  15  292    1.0000 -0.0100  0.0200
  +4.013 +4.583  5  15  245    1.0000 -0.0100  0.0200
  +4.583 +5.191  5  15  139    0.9758 -0.1735 -0.4783
