{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  15  139    0.9758 -0.1735 -0.4783
  -4.583 -4.013  5  15  245    1.0851 -0.9039  0.0239
  -4.013 -3.839  5  15  292    0.9634  0.1146  0.0071
  -3.839 -3.489  5  15  414    1.0102  0.0217  0.0072
  -3.489 -3.314  5  15  493    1.0481  0.0247  0.0071
  -3.314 -3.139  5  15  588    0.9731  0.1869  0.0075
  -3.139 -2.964  5  15  700    0.8963  0.1884  0.4999
  -2.964 -2.853  5  15  781    0.9593 -0.1387 -0.5000
  -2.853 -2.650  5  15  956    0.8071  0.0815  0.5000
  -2.650 -2.500  5  15 1108    0.8879  0.1170 -0.5000
  -2.500 -2.322  5  15 1321    0.9168  0.0386 -0.1479
  -2.322 -2.172  5  15 1529    0.9746  0.0215 -0.2917
  -2.172 -1.930  5  15 1933    1.0038 -0.0341 -0.5000
  -1.930 -1.653  5  15 2511    0.9699  0.0144 -0.2019
  -1.653 -1.479  5  15 2946    0.9636  0.0096 -0.1514
  -1.479 -1.305  5  15 3435    0.9736  0.0200 -0.0705
  -1.305 -1.044  5  15 4259    0.9878  0.0171 -0.0241
  -1.044 -0.783  5  15 5141    0.9903  0.0083  0.0096
  -0.783 -0.522  5  15 5968    1.0022  0.0003  0.0044
  -0.522 -0.261  5  15 6574    1.0065 -0.0063  0.0139
  -0.261 -0.000  5  15 6800    1.0062 -0.0097  0.0235
  +0.000 +0.261  5  15 6800    1.0062 -0.0097  0.0235
  +0.261 +0.522  5  15 6574    1.0065 -0.0063  0.0139
  +0.522 +0.783  5  15 5968    1.0022  0.0003  0.0044
  +0.783 +1.044  5  15 5141    0.9903  0.0083  0.0096
  +1.044 +1.305  5  15 4259    0.9878  0.0171 -0.0241
  +1.305 +1.479  5  15 3435    0.9736  0.0200 -0.0705
  +1.479 +1.653  5  15 2946    0.9636  0.0096 -0.1514
  +1.653 +1.930  5  15 2511    0.9699  0.0144 -0.2019
  +1.930 +2.172  5  15 1933    1.0038 -0.0341 -0.5000
  +2.172 +2.322  5  15 1529    0.9746  0.0215 -0.2917
  +2.322 +2.500  5  15 1321    0.9168  0.0386 -0.1479
  +2.500 +2.650  5  15 1108    0.8879  0.1170 -0.5000
  +2.650 +2.853  5  15  956    0.8071  0.0815  0.5000
  +2.853 +2.964  5  15  781    0.9593 -0.1387 -0.5000
  +2.964 +3.139  5  15  700    0.8963  0.1884  0.4999
  +3.139 +3.314  5  15  588    0.9731  0.1869  0.0075
  +3.314 +3.489  5  15  493    1.0481  0.0247  0.0071
  +3.489 +3.839  5  15  414    1.0102  0.0217  0.0072
  +3.839 +4.013  5  15  292    0.9634  0.1146  0.0071
  +4.013 +4.583  5  15  245    1.0851 -0.9039  0.0239
  +4.583 +5.191  5  15  139    0.9758 -0.1735 -0.4783
