{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  15  139    0.9586  0.0978  0.1932
  -4.583 -4.013  5  15  245    1.0353 -0.2278  0.0071
  -4.013 -3.839  5  15  292    1.0170  0.0405  0.0076
  -3.839 -3.489  5  15  414    0.9867  0.0587  0.5000
  -3.489 -3.314  5  15  493    0.9718  0.1679  0.5000
  -3.314 -3.139  5  15  588    0.9419  0.1952  0.4999
  -3.139 -2.964  5  15  700    0.9757  0.0704 -0.5000
  -2.964 -2.853  5  15  781    0.7675  0.2985  0.5000
  -2.853 -2.650  5  15  956    0.7767  0.1999  0.3440
  -2.650 -2.500  5  15 1108    0.8124  0.2039  0.3880
  -2.500 -2.322  5  15 1321    0.9362  0.0260 -0.3553
  -2.322 -2.172  5  15 1529    0.9986 -0.0044 -0.5000
  -2.172 -1.930  5  15 1933    0.9920 -0.0049 -0.4639
  -1.930 -1.653  5  15 2511    0.9752  0.0148 -0.2646
  -1.653 -1.479  5  15 2946    0.9668  0.0104 -0.1848
  -1.479 -1.305  5  15 3435    0.9720  0.0266 -0.0654
  -1.305 -1.044  5  15 4259    0.9861  0.0200 -0.0067
  -1.044 -0.783  5  15 5141    0.9915  0.0075  0.0139
  -0.783 -0.522  5  15 5968    1.0016  0.0015  0.0146
  -0.522 -0.261  5  15 6574    1.0063 -0.0068  0.0057
  -0.261 -0.000  5  15 6800    1.0069 -0.0114  0.0058
  +0.000 +0.261  5  15 6800    1.0069 -0.0114  0.0058
  +0.261 +0.522  5  15 6574    1.0063 -0.0068  0.0057
  +0.522 +0.783  5  15 5968    1.0016  0.0015  0.0146
  +0.783 +1.044  5  15 5141    0.9915  0.0075  0.0139
  +1.044 +1.305  5  15 4259    0.9861  0.0200 -0.0067
  +1.305 +1.479  5  15 3435    0.9720  0.0266 -0.0654
  +1.479 +1.653  5  15 2946    0.9668  0.0104 -0.1848
  +1.653 +1.930  5  15 2511    0.9752  0.0148 -0.2646
  +1.930 +2.172  5  15 1933    0.9920 -0.0049 -0.4639
  +2.172 +2.322  5  15 1529    0.9986 -0.0044 -0.5000
  +2.322 +2.500  5  15 1321    0.9362  0.0260 -0.3553
  +2.500 +2.650  5  15 1108    0.8124  0.2039  0.3880
  +2.650 +2.853  5  15  956    0.7767  0.1999  0.3440
  +2.853 +2.964  5  15  781    0.7675  0.2985  0.5000
  +2.964 +3.139  5  15  700    0.9757  0.0704 -0.5000
  +3.139 +3.314  5  15  588    0.9419  0.1952  0.4999
  +3.314 +3.489  5  15  493    0.9718  0.1679  0.5000
  +3.489 +3.839  5  15  414    0.9867  0.0587  0.5000
  +3.839 +4.013  5  15  292    1.0170  0.0405  0.0076
  +4.013 +4.583  5  15  245    1.0353 -0.2278  0.0071
  +4.583 +5.191  5  15  139    0.9586  0.0978  0.1932
