{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  15  139    0.9376  0.0410  0.1756
  -4.583 -4.013  5  15  245    0.9468  0.1352  0.0079
  -4.013 -3.839  5  15  292    1.0093 -0.0733  0.0073
  -3.839 -3.489  5  15  414    1.0863 -0.1717 -0.5000
  -3.489 -3.314  5  15  493    1.0609 -0.1040 -0.5000
  -3.314 -3.139  5  15  588    0.9299  0.1970  0.5000
  -3.139 -2.964  5  15  700    0.8603  0.3244  0.5000
  -2.964 -2.853  5  15  781    0.7511  0.2905  0.5000
  -2.853 -2.650  5  15  956    0.7645  0.2535  0.4218
  -2.650 -2.500  5  15 1108    0.8307  0.1745  0.2162
  -2.500 -2.322  5  15 1321    0.9341  0.0276 -0.3207
  -2.322 -2.172  5  15 1529    1.0013 -0.0077 -0.5000
  -2.172 -1.930  5  15 1933    0.9939 -0.0076 -0.4642
  -1.930 -1.653  5  15 2511    0.9780  0.0113 -0.2683
  -1.653 -1.479  5  15 2946    0.9659  0.0107 -0.1643
  -1.479 -1.305  5  15 3435    0.9754  0.0230 -0.0723
  -1.305 -1.044  5  15 4259    0.9873  0.0185 -0.0110
  -1.044 -0.783  5  15 5141    0.9929  0.0062  0.0072
  -0.783 -0.522  5  15 5968    1.0011  0.0019  0.0180
  -0.522 -0.261  5  15 6574    1.0070 -0.0072  0.0006
  -0.261 -0.000  5  15 6800    1.0073 -0.0117  0.0032
  +0.000 +0.261  5  15 6800    1.0073 -0.0117  0.0032
  +0.261 +0.522  5  15 6574    1.0070 -0.0072  0.0006
  +0.522 +0.783  5  15 5968    1.0011  0.0019  0.0180
  +0.783 +1.044  5  15 5141    0.9929  0.0062  0.0072
  +1.044 +1.305  5  15 4259    0.9873  0.0185 -0.0110
  +1.305 +1.479  5  15 3435    0.9754  0.0230 -0.0723
  +1.479 +1.653  5  15 2946    0.9659  0.0107 -0.1643
  +1.653 +1.930  5  15 2511    0.9780  0.0113 -0.2683
  +1.930 +2.172  5  15 1933    0.9939 -0.0076 -0.4642
  +2.172 +2.322  5  15 1529    1.0013 -0.0077 -0.5000
  +2.322 +2.500  5  15 1321    0.9341  0.0276 -0.3207
  +2.500 +2.650  5  15 1108    0.8307  0.1745  0.2162
  +2.650 +2.853  5  15  956    0.7645  0.2535  0.4218
  +2.853 +2.964  5  15  781    0.7511  0.2905  0.5000
  +2.964 +3.139  5  15  700    0.8603  0.3244  0.5000
  +3.139 +3.314  5  15  588    0.9299  0.1970  0.5000
  +3.314 +3.489  5  15  493    1.0609 -0.1040 -0.5000
  +3.489 +3.839  5  15  414    1.0863 -0.1717 -0.5000
  +3.839 +4.013  5  15  292    1.0093 -0.0733  0.0073
  +4.013 +4.583  5  15  245    0.9468  0.1352  0.0079
  +4.583 +5.191  5  15  139    0.9376  0.0410  0.1756
