{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  15  139    0.9376  0.0410  0.1756
  -4.583 -4.013  5  15  245    1.0000 -0.0100  0.0200
  -4.013 -3.839  5  15  292    1.0000 -0.0100  0.0200
  -3.839 -3.489  5  15  414    1.0000 -0.0100  0.0200
  -3.489 -3.314  5  15  493    1.0000 -0.0100  0.0200
  -3.314 -3.139  5  15  588    1.0000 -0.0100  0.0200
  -3.139 -2.964  5  15  700    1.0000 -0.0100  0.0200
  -2.964 -2.853  5  15  781    1.0000 -0.0100  0.0200
  -2.853 -2.650  5  15  956    1.0000 -0.0100  0.0200
  -2.650 -2.500  5  15 1108    0.8413  0.1733  0.0128
  -2.500 -2.322  5  15 1321    0.9319  0.0300 -0.3048
  -2.322 -2.172  5  15 1529    1.0007 -0.0072 -0.5000
  -2.172 -1.930  5  15 1933    0.9934 -0.0071 -0.4617
  -1.930 -1.653  5  15 2511    0.9762  0.0132 -0.2592
  -1.653 -1.479  5  15 2946    0.9663  0.0104 -0.1691
  -1.479 -1.305  5  15 3435    0.9735  0.0257 -0.0654
  -1.305 -1.044  5  15 4259    0.9871  0.0189 -0.0098
  -1.044 -0.783  5  15 5141    0.9916  0.0075  0.0133
  -0.783 -0.522  5  15 5968    1.0015  0.0017  0.0147
  -0.522 -0.261  5  15 6574    1.0067 -0.0071  0.0007
  -0.261 -0.000  5  15 6800    1.0075 -0.0120  0.0046
  +0.000 +0.261  5  15 6800    1.0075 -0.0120  0.0046
  +0.261 +0.522  5  15 6574    1.0067 -0.0071  0.0007
  +0.522 +0.783  5  15 5968    1.0015  0.0017  0.0147
  +0.783 +1.044  5  15 5141    0.9916  0.0075  0.0133
  +1.044 +1.305  5  15 4259    0.9871  0.0189 -0.0098
  +1.305 +1.479  5  15 3435    0.9735  0.0257 -0.0654
  +1.479 +1.653  5  15 2946    0.9663  0.0104 -0.1691
  +1.653 +1.930  5  15 2511    0.9762  0.0132 -0.2592
  +1.930 +2.172  5  15 1933    0.9934 -0.0071 -0.4617
  +2.172 +2.322  5  15 1529    1.0007 -0.0072 -0.5000
  +2.322 +2.500  5  15 1321    0.9319  0.0300 -0.3048
  +2.500 +2.650  5  15 1108    0.8413  0.1733  0.0128
  +2.650 +2.853  5  15  956    1.0000 -0.0100  0.0200
  +2.853 +2.964  5  15  781    1.0000 -0.0100  0.0200
  +2.964 +3.139  5  15  700    1.0000 -0.0100  0.0200
  +3.139 +3.314  5  15  588    1.0000 -0.0100  0.0200
  +3.314 +3.489  5  15  493    1.0000 -0.0100  0.0200
  +3.489 +3.839  5  15  414    1.0000 -0.0100  0.0200
  +3.839 +4.013  5  15  292    1.0000 -0.0100  0.0200
  +4.013 +4.583  5  15  245    1.0000 -0.0100  0.0200
  +4.583 +5.191  5  15  139    0.9376  0.0410  0.1756
