{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  15  139    0.9376  0.0410  0.1756
  -4.583 -4.013  5  15  245    0.9862  0.2109  0.0076
  -4.013 -3.839  5  15  292    0.9323  0.7226  0.0075
  -3.839 -3.489  5  15  414    1.0252 -0.0190  0.0073
  -3.489 -3.314  5  15  493    1.0257  0.0239  0.0071
  -3.314 -3.139  5  15  588    0.9614  0.3275  0.0069
  -3.139 -2.964  5  15  700    0.9067  0.0997  0.4640
  -2.964 -2.853  5  15  781    0.9415 -0.1046 -0.5000
  -2.853 -2.650  5  15  956    0.9291 -0.1496 -0.5000
  -2.650 -2.500  5  15 1108    0.8129  0.1882  0.5000
  -2.500 -2.322  5  15 1321    0.9284  0.0339 -0.2756
  -2.322 -2.172  5  15 1529    0.9994 -0.0058 -0.5000
  -2.172 -1.930  5  15 1933    0.9921 -0.0057 -0.4555
  -1.930 -1.653  5  15 2511    0.9748  0.0147 -0.2507
  -1.653 -1.479  5  15 2946    0.9664  0.0104 -0.1727
  -1.479 -1.305  5  15 3435    0.9742  0.0250 -0.0735
  -1.305 -1.044  5  15 4259    0.9874  0.0186 -0.0125
  -1.044 -0.783  5  15 5141    0.9920  0.0072  0.0101
  -0.783 -0.522  5  15 5968    1.0019  0.0013  0.0120
  -0.522 -0.261  5  15 6574    1.0062 -0.0066  0.0050
  -0.261 -0.000  5  15 6800    1.0073 -0.0119  0.0061
  +0.000 +0.261  5  15 6800    1.0073 -0.0119  0.0061
  +0.261 +0.522  5  15 6574    1.0062 -0.0066  0.0050
  +0.522 +0.783  5  15 5968    1.0019  0.0013  0.0120
  +0.783 +1.044  5  15 5141    0.9920  0.0072  0.0101
  +1.044 +1.305  5  15 4259    0.9874  0.0186 -0.0125
  +1.305 +1.479  5  15 3435    0.9742  0.0250 -0.0735
  +1.479 +1.653  5  15 2946    0.9664  0.0104 -0.1727
  +1.653 +1.930  5  15 2511    0.9748  0.0147 -0.2507
  +1.930 +2.172  5  15 1933    0.9921 -0.0057 -0.4555
  +2.172 +2.322  5  15 1529    0.9994 -0.0058 -0.5000
  +2.322 +2.500  5  15 1321    0.9284  0.0339 -0.2756
  +2.500 +2.650  5  15 1108    0.8129  0.1882  0.5000
  +2.650 +2.853  5  15  956    0.9291 -0.1496 -0.5000
  +2.853 +2.964  5  15  781    0.9415 -0.1046 -0.5000
  +2.964 +3.139  5  15  700    0.9067  0.0997  0.4640
  +3.139 +3.314  5  15  588    0.9614  0.3275  0.0069
  +3.314 +3.489  5  15  493    1.0257  0.0239  0.0071
  +3.489 +3.839  5  15  414    1.0252 -0.0190  0.0073
  +3.839 +4.013  5  15  292    0.9323  0.7226  0.0075
  +4.013 +4.583  5  15  245    0.9862  0.2109  0.0076
  +4.583 +5.191  5  15  139    0.9376  0.0410  0.1756
