{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  15  139    1.0193 -0.2575 -0.5000
  -4.583 -4.013  5  15  245    0.9815 -0.3072  0.0066
  -4.013 -3.839  5  15  292    0.9803 -0.1270  0.0069
  -3.839 -3.489  5  15  414    1.0268 -0.0925 -0.5000
  -3.489 -3.314  5  15  493    0.9228  0.2191  0.5000
  -3.314 -3.139  5  15  588    0.9059  0.2365  0.5000
  -3.139 -2.964  5  15  700    0.9654  0.1017 -0.5000
  -2.964 -2.853  5  15  781    0.7903  0.2590  0.5000
  -2.853 -2.650  5  15  956    0.8132  0.1485  0.2924
  -2.650 -2.500  5  15 1108    0.8493  0.1244  0.2267
  -2.500 -2.322  5  15 1321    0.9479  0.0118 -0.5000
  -2.322 -2.172  5  15 1529    0.9812  0.0077 -0.5000
  -2.172 -1.930  5  15 1933    0.9824 -0.0031 -0.4989
  -1.930 -1.653  5  15 2511    0.9724  0.0085 -0.3517
  -1.653 -1.479  5  15 2946    0.9676  0.0013 -0.2837
  -1.479 -1.305  5  15 3435    0.9640  0.0321 -0.0723
  -1.305 -1.044  5  15 4259    0.9818  0.0204 -0.0148
  -1.044 -0.783  5  15 5141    0.9878  0.0071  0.0075
  -0.783 -0.522  5  15 5968    1.0003  0.0013  0.0094
  -0.522 -0.261  5  15 6574    1.0111 -0.0090  0.0027
  -0.261 -0.000  5  15 6800    1.0140 -0.0143  0.0054
  +0.000 +0.261  5  15 6800    1.0140 -0.0143  0.0054
  +0.261 +0.522  5  15 6574    1.0111 -0.0090  0.0027
  +0.522 +0.783  5  15 5968    1.0003  0.0013  0.0094
  +0.783 +1.044  5  15 5141    0.9878  0.0071  0.0075
  +1.044 +1.305  5  15 4259    0.9818  0.0204 -0.0148
  +1.305 +1.479  5  15 3435    0.9640  0.0321 -0.0723
  +1.479 +1.653  5  15 2946    0.9676  0.0013 -0.2837
  +1.653 +1.930  5  15 2511    0.9724  0.0085 -0.3517
  +1.930 +2.172  5  15 1933    0.9824 -0.0031 -0.4989
  +2.172 +2.322  5  15 1529    0.9812  0.0077 -0.5000
  +2.322 +2.500  5  15 1321    0.9479  0.0118 -0.5000
  +2.500 +2.650  5  15 1108    0.8493  0.1244  0.2267
  +2.650 +2.853  5  15  956    0.8132  0.1485  0.2924
  +2.853 +2.964  5  15  781    0.7903  0.2590  0.5000
  +2.964 +3.139  5  15  700    0.9654  0.1017 -0.5000
  +3.139 +3.314  5  15  588    0.9059  0.2365  0.5000
  +3.314 +3.489  5  15  493    0.9228  0.2191  0.5000
  +3.489 +3.839  5  15  414    1.0268 -0.0925 -0.5000
  +3.839 +4.013  5  15  292    0.9803 -0.1270  0.0069
  +4.013 +4.583  5  15  245    0.9815 -0.3072  0.0066
  +4.583 +5.191  5  15  139    1.0193 -0.2575 -0.5000
