{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  15  139    1.0208 -0.2415 -0.5000
  -4.583 -4.013  5  15  245    0.8771 -0.3747  0.0074
  -4.013 -3.839  5  15  292    0.9808 -0.3282  0.0082
  -3.839 -3.489  5  15  414    1.0128 -0.1313 -0.5000
  -3.489 -3.314  5  15  493    1.0163 -0.0729 -0.5000
  -3.314 -3.139  5  15  588    0.8958  0.2172  0.5000
  -3.139 -2.964  5  15  700    0.9563  0.1145 -0.5000
  -2.964 -2.853  5  15  781    0.7802  0.2631  0.5000
  -2.853 -2.650  5  15  956    0.7993  0.2240  0.4040
  -2.650 -2.500  5  15 1108    0.8631  0.1076  0.0977
  -2.500 -2.322  5  15 1321    0.9501  0.0087 -0.5000
  -2.322 -2.172  5  15 1529    0.9831  0.0050 -0.5000
  -2.172 -1.930  5  15 1933    0.9855 -0.0068 -0.5000
  -1.930 -1.653  5  15 2511    0.9747  0.0057 -0.3448
  -1.653 -1.479  5  15 2946    0.9663  0.0020 -0.2491
  -1.479 -1.305  5  15 3435    0.9691  0.0268 -0.0830
  -1.305 -1.044  5  15 4259    0.9823  0.0199 -0.0116
  -1.044 -0.783  5  15 5141    0.9882  0.0070  0.0090
  -0.783 -0.522  5  15 5968    1.0006  0.0011  0.0085
  -0.522 -0.261  5  15 6574    1.0117 -0.0096 -0.0035
  -0.261 -0.000  5  15 6800    1.0134 -0.0138  0.0025
  +0.000 +0.261  5  15 6800    1.0134 -0.0138  0.0025
  +0.261 +0.522  5  15 6574    1.0117 -0.0096 -0.0035
  +0.522 +0.783  5  15 5968    1.0006  0.0011  0.0085
  +0.783 +1.044  5  15 5141    0.9882  0.0070  0.0090
  +1.044 +1.305  5  15 4259    0.9823  0.0199 -0.0116
  +1.305 +1.479  5  15 3435    0.9691  0.0268 -0.0830
  +1.479 +1.653  5  15 2946    0.9663  0.0020 -0.2491
  +1.653 +1.930  5  15 2511    0.9747  0.0057 -0.3448
  +1.930 +2.172  5  15 1933    0.9855 -0.0068 -0.5000
  +2.172 +2.322  5  15 1529    0.9831  0.0050 -0.5000
  +2.322 +2.500  5  15 1321    0.9501  0.0087 -0.5000
  +2.500 +2.650  5  15 1108    0.8631  0.1076  0.0977
  +2.650 +2.853  5  15  956    0.7993  0.2240  0.4040
  +2.853 +2.964  5  15  781    0.7802  0.2631  0.5000
  +2.964 +3.139  5  15  700    0.9563  0.1145 -0.5000
  +3.139 +3.314  5  15  588    0.8958  0.2172  0.5000
  +3.314 +3.489  5  15  493    1.0163 -0.0729 -0.5000
  +3.489 +3.839  5  15  414    1.0128 -0.1313 -0.5000
  +3.839 +4.013  5  15  292    0.9808 -0.3282  0.0082
  +4.013 +4.583  5  15  245    0.8771 -0.3747  0.0074
  +4.583 +5.191  5  15  139    1.0208 -0.2415 -0.5000
