{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  15  139    1.0208 -0.2415 -0.5000
  -4.583 -4.013  5  15  245    1.0000 -0.0100  0.0200
  -4.013 -3.839  5  15  292    1.0000 -0.0100  0.0200
  -3.839 -3.489  5  15  414    1.0000 -0.0100  0.0200
  -3.489 -3.314  5  15  493    1.0000 -0.0100  0.0200
  -3.314 -3.139  5  15  588    1.0000 -0.0100  0.0200
  -3.139 -2.964  5  15  700    1.0000 -0.0100  0.0200
  -2.964 -2.853  5  15  781    1.0000 -0.0100  0.0200
  -2.853 -2.650  5  15  956    1.0000 -0.0100  0.0200
  -2.650 -2.500  5  15 1108    0.9550 -0.0135 -0.3977
  -2.500 -2.322  5  15 1321    0.9474  0.0117 -0.4933
  -2.322 -2.172  5  15 1529    0.9819  0.0063 -0.5000
  -2.172 -1.930  5  15 1933    0.9838 -0.0051 -0.4949
  -1.930 -1.653  5  15 2511    0.9725  0.0079 -0.3347
  -1.653 -1.479  5  15 2946    0.9643  0.0045 -0.2398
  -1.479 -1.305  5  15 3435    0.9656  0.0302 -0.0682
  -1.305 -1.044  5  15 4259    0.9817  0.0204 -0.0094
  -1.044 -0.783  5  15 5141    0.9882  0.0069  0.0061
  -0.783 -0.522  5  15 5968    1.0005  0.0011  0.0075
  -0.522 -0.261  5  15 6574    1.0114 -0.0094 -0.0029
  -0.261 -0.000  5  15 6800    1.0136 -0.0140  0.0066
  +0.000 +0.261  5  15 6800    1.0136 -0.0140  0.0066
  +0.261 +0.522  5  15 6574    1.0114 -0.0094 -0.0029
  +0.522 +0.783  5  15 5968    1.0005  0.0011  0.0075
  +0.783 +1.044  5  15 5141    0.9882  0.0069  0.0061
  +1.044 +1.305  5  15 4259    0.9817  0.0204 -0.0094
  +1.305 +1.479  5  15 3435    0.9656  0.0302 -0.0682
  +1.479 +1.653  5  15 2946    0.9643  0.0045 -0.2398
  +1.653 +1.930  5  15 2511    0.9725  0.0079 -0.3347
  +1.930 +2.172  5  15 1933    0.9838 -0.0051 -0.4949
  +2.172 +2.322  5  15 1529    0.9819  0.0063 -0.5000
  +2.322 +2.500  5  15 1321    0.9474  0.0117 -0.4933
  +2.500 +2.650  5  15 1108    0.9550 -0.0135 -0.3977
  +2.650 +2.853  5  15  956    1.0000 -0.0100  0.0200
  +2.853 +2.964  5  15  781    1.0000 -0.0100  0.0200
  +2.964 +3.139  5  15  700    1.0000 -0.0100  0.0200
  +3.139 +3.314  5  15  588    1.0000 -0.0100  0.0200
  +3.314 +3.489  5  15  493    1.0000 -0.0100  0.0200
  +3.489 +3.839  5  15  414    1.0000 -0.0100  0.0200
  +3.839 +4.013  5  15  292    1.0000 -0.0100  0.0200
  +4.013 +4.583  5  15  245    1.0000 -0.0100  0.0200
  +4.583 +5.191  5  15  139    1.0208 -0.2415 -0.5000
