{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  15  139    1.0208 -0.2415 -0.5000
  -4.583 -4.013  5  15  245    0.9874 -0.4797  0.0073
  -4.013 -3.839  5  15  292    0.9477 -0.0231  0.0072
  -3.839 -3.489  5  15  414    0.9730  0.0075  0.0071
  -3.489 -3.314  5  15  493    0.9991 -0.0426  0.0075
  -3.314 -3.139  5  15  588    0.9561  0.1512  0.0076
  -3.139 -2.964  5  15  700    0.9118  0.0176  0.5000
  -2.964 -2.853  5  15  781    0.8673 -0.0355  0.5000
  -2.853 -2.650  5  15  956    0.8626 -0.0221  0.5000
  -2.650 -2.500  5  15 1108    0.8452  0.1059  0.5000
  -2.500 -2.322  5  15 1321    0.9448  0.0145 -0.4726
  -2.322 -2.172  5  15 1529    0.9805  0.0079 -0.5000
  -2.172 -1.930  5  15 1933    0.9823 -0.0034 -0.4874
  -1.930 -1.653  5  15 2511    0.9714  0.0091 -0.3284
  -1.653 -1.479  5  15 2946    0.9640  0.0049 -0.2393
  -1.479 -1.305  5  15 3435    0.9657  0.0301 -0.0702
  -1.305 -1.044  5  15 4259    0.9816  0.0205 -0.0095
  -1.044 -0.783  5  15 5141    0.9884  0.0067  0.0036
  -0.783 -0.522  5  15 5968    1.0006  0.0010  0.0058
  -0.522 -0.261  5  15 6574    1.0112 -0.0092 -0.0008
  -0.261 -0.000  5  15 6800    1.0135 -0.0139  0.0075
  +0.000 +0.261  5  15 6800    1.0135 -0.0139  0.0075
  +0.261 +0.522  5  15 6574    1.0112 -0.0092 -0.0008
  +0.522 +0.783  5  15 5968    1.0006  0.0010  0.0058
  +0.783 +1.044  5  15 5141    0.9884  0.0067  0.0036
  +1.044 +1.305  5  15 4259    0.9816  0.0205 -0.0095
  +1.305 +1.479  5  15 3435    0.9657  0.0301 -0.0702
  +1.479 +1.653  5  15 2946    0.9640  0.0049 -0.2393
  +1.653 +1.930  5  15 2511    0.9714  0.0091 -0.3284
  +1.930 +2.172  5  15 1933    0.9823 -0.0034 -0.4874
  +2.172 +2.322  5  15 1529    0.9805  0.0079 -0.5000
  +2.322 +2.500  5  15 1321    0.9448  0.0145 -0.4726
  +2.500 +2.650  5  15 1108    0.8452  0.1059  0.5000
  +2.650 +2.853  5  15  956    0.8626 -0.0221  0.5000
  +2.853 +2.964  5  15  781    0.8673 -0.0355  0.5000
  +2.964 +3.139  5  15  700    0.9118  0.0176  0.5000
  +3.139 +3.314  5  15  588    0.9561  0.1512  0.0076
  +3.314 +3.489  5  15  493    0.9991 -0.0426  0.0075
  +3.489 +3.839  5  15  414    0.9730  0.0075  0.0071
  +3.839 +4.013  5  15  292    0.9477 -0.0231  0.0072
  +4.013 +4.583  5  15  245    0.9874 -0.4797  0.0073
  +4.583 +5.191  5  15  139    1.0208 -0.2415 -0.5000
