{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  15  139    1.0134 -0.2608 -0.5000
  -4.583 -4.013  5  15  245    0.9412  0.0804  0.0077
  -4.013 -3.839  5  15  292    0.9714 -0.1617  0.0072
  -3.839 -3.489  5  15  414    0.9403  0.0582  0.2807
  -3.489 -3.314  5  15  493    1.0241 -0.0513 -0.5000
  -3.314 -3.139  5  15  588    0.8934  0.2601  0.5000
  -3.139 -2.964  5  15  700    0.9218  0.2838 -0.5000
  -2.964 -2.853  5  15  781    0.7686  0.2683  0.5000
  -2.853 -2.650  5  15  956    0.7804  0.1774  0.3802
  -2.650 -2.500  5  15 1108    0.8382  0.1360  0.2510
  -2.500 -2.322  5  15 1321    0.9453  0.0137 -0.5000
  -2.322 -2.172  5  15 1529    0.9789  0.0109 -0.5000
  -2.172 -1.930  5  15 1933    0.9833 -0.0032 -0.5000
  -1.930 -1.653  5  15 2511    0.9806  0.0010 -0.4677
  -1.653 -1.479  5  15 2946    0.9708 -0.0027 -0.3162
  -1.479 -1.305  5  15 3435    0.9645  0.0323 -0.0884
  -1.305 -1.044  5  15 4259    0.9855  0.0177 -0.0557
  -1.044 -0.783  5  15 5141    0.9902  0.0058 -0.0089
  -0.783 -0.522  5  15 5968    1.0026 -0.0003  0.0033
  -0.522 -0.261  5  15 6574    1.0098 -0.0079  0.0143
  -0.261 -0.000  5  15 6800    1.0112 -0.0126  0.0192
  +0.000 +0.261  5  15 6800    1.0112 -0.0126  0.0192
  +0.261 +0.522  5  15 6574    1.0098 -0.0079  0.0143
  +0.522 +0.783  5  15 5968    1.0026 -0.0003  0.0033
  +0.783 +1.044  5  15 5141    0.9902  0.0058 -0.0089
  +1.044 +1.305  5  15 4259    0.9855  0.0177 -0.0557
  +1.305 +1.479  5  15 3435    0.9645  0.0323 -0.0884
  +1.479 +1.653  5  15 2946    0.9708 -0.0027 -0.3162
  +1.653 +1.930  5  15 2511    0.9806  0.0010 -0.4677
  +1.930 +2.172  5  15 1933    0.9833 -0.0032 -0.5000
  +2.172 +2.322  5  15 1529    0.9789  0.0109 -0.5000
  +2.322 +2.500  5  15 1321    0.9453  0.0137 -0.5000
  +2.500 +2.650  5  15 1108    0.8382  0.1360  0.2510
  +2.650 +2.853  5  15  956    0.7804  0.1774  0.3802
  +2.853 +2.964  5  15  781    0.7686  0.2683  0.5000
  +2.964 +3.139  5  15  700    0.9218  0.2838 -0.5000
  +3.139 +3.314  5  15  588    0.8934  0.2601  0.5000
  +3.314 +3.489  5  15  493    1.0241 -0.0513 -0.5000
  +3.489 +3.839  5  15  414    0.9403  0.0582  0.2807
  +3.839 +4.013  5  15  292    0.9714 -0.1617  0.0072
  +4.013 +4.583  5  15  245    0.9412  0.0804  0.0077
  +4.583 +5.191  5  15  139    1.0134 -0.2608 -0.5000
