{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  15  139    0.7803 -0.5596  0.5000
  -4.583 -4.013  5  15  245    0.8489  0.1278  0.0079
  -4.013 -3.839  5  15  292    0.9449  0.0024  0.0073
  -3.839 -3.489  5  15  414    0.9085  0.1140  0.4938
  -3.489 -3.314  5  15  493    1.0107 -0.0803 -0.5000
  -3.314 -3.139  5  15  588    0.8825  0.3441  0.5000
  -3.139 -2.964  5  15  700    0.9054  0.4091 -0.5000
  -2.964 -2.853  5  15  781    0.7612  0.2753  0.5000
  -2.853 -2.650  5  15  956    0.7667  0.2547  0.4999
  -2.650 -2.500  5  15 1108    0.8382  0.1520  0.2246
  -2.500 -2.322  5  15 1321    0.9482  0.0102 -0.5000
  -2.322 -2.172  5  15 1529    0.9802  0.0084 -0.5000
  -2.172 -1.930  5  15 1933    0.9853 -0.0060 -0.5000
  -1.930 -1.653  5  15 2511    0.9824 -0.0012 -0.4588
  -1.653 -1.479  5  15 2946    0.9721 -0.0046 -0.3185
  -1.479 -1.305  5  15 3435    0.9701  0.0266 -0.0997
  -1.305 -1.044  5  15 4259    0.9858  0.0174 -0.0482
  -1.044 -0.783  5  15 5141    0.9906  0.0056 -0.0071
  -0.783 -0.522  5  15 5968    1.0031 -0.0007  0.0002
  -0.522 -0.261  5  15 6574    1.0094 -0.0076  0.0136
  -0.261 -0.000  5  15 6800    1.0113 -0.0128  0.0111
  +0.000 +0.261  5  15 6800    1.0113 -0.0128  0.0111
  +0.261 +0.522  5  15 6574    1.0094 -0.0076  0.0136
  +0.522 +0.783  5  15 5968    1.0031 -0.0007  0.0002
  +0.783 +1.044  5  15 5141    0.9906  0.0056 -0.0071
  +1.044 +1.305  5  15 4259    0.9858  0.0174 -0.0482
  +1.305 +1.479  5  15 3435    0.9701  0.0266 -0.0997
  +1.479 +1.653  5  15 2946    0.9721 -0.0046 -0.3185
  +1.653 +1.930  5  15 2511    0.9824 -0.0012 -0.4588
  +1.930 +2.172  5  15 1933    0.9853 -0.0060 -0.5000
  +2.172 +2.322  5  15 1529    0.9802  0.0084 -0.5000
  +2.322 +2.500  5  15 1321    0.9482  0.0102 -0.5000
  +2.500 +2.650  5  15 1108    0.8382  0.1520  0.2246
  +2.650 +2.853  5  15  956    0.7667  0.2547  0.4999
  +2.853 +2.964  5  15  781    0.7612  0.2753  0.5000
  +2.964 +3.139  5  15  700    0.9054  0.4091 -0.5000
  +3.139 +3.314  5  15  588    0.8825  0.3441  0.5000
  +3.314 +3.489  5  15  493    1.0107 -0.0803 -0.5000
  +3.489 +3.839  5  15  414    0.9085  0.1140  0.4938
  +3.839 +4.013  5  15  292    0.9449  0.0024  0.0073
  +4.013 +4.583  5  15  245    0.8489  0.1278  0.0079
  +4.583 +5.191  5  15  139    0.7803 -0.5596  0.5000
