{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  15  139    0.7803 -0.5596  0.5000
  -4.583 -4.013  5  15  245    0.9359  0.0311  0.0075
  -4.013 -3.839  5  15  292    0.9409  0.0091  0.0066
  -3.839 -3.489  5  15  414    0.9628 -0.0236  0.0072
  -3.489 -3.314  5  15  493    0.9906 -0.1127  0.0070
  -3.314 -3.139  5  15  588    0.9784 -0.0703  0.0070
  -3.139 -2.964  5  15  700    0.9105  0.0512  0.4963
  -2.964 -2.853  5  15  781    0.8871 -0.1649  0.4998
  -2.853 -2.650  5  15  956    0.8438 -0.0168  0.5000
  -2.650 -2.500  5  15 1108    0.8378  0.1310  0.5000
  -2.500 -2.322  5  15 1321    0.9449  0.0139 -0.5000
  -2.322 -2.172  5  15 1529    0.9780  0.0109 -0.5000
  -2.172 -1.930  5  15 1933    0.9834 -0.0040 -0.5000
  -1.930 -1.653  5  15 2511    0.9789  0.0023 -0.4359
  -1.653 -1.479  5  15 2946    0.9712 -0.0037 -0.3151
  -1.479 -1.305  5  15 3435    0.9663  0.0307 -0.0859
  -1.305 -1.044  5  15 4259    0.9848  0.0184 -0.0441
  -1.044 -0.783  5  15 5141    0.9899  0.0062 -0.0047
  -0.783 -0.522  5  15 5968    1.0027 -0.0004  0.0039
  -0.522 -0.261  5  15 6574    1.0089 -0.0072  0.0174
  -0.261 -0.000  5  15 6800    1.0116 -0.0133  0.0139
  +0.000 +0.261  5  15 6800    1.0116 -0.0133  0.0139
  +0.261 +0.522  5  15 6574    1.0089 -0.0072  0.0174
  +0.522 +0.783  5  15 5968    1.0027 -0.0004  0.0039
  +0.783 +1.044  5  15 5141    0.9899  0.0062 -0.0047
  +1.044 +1.305  5  15 4259    0.9848  0.0184 -0.0441
  +1.305 +1.479  5  15 3435    0.9663  0.0307 -0.0859
  +1.479 +1.653  5  15 2946    0.9712 -0.0037 -0.3151
  +1.653 +1.930  5  15 2511    0.9789  0.0023 -0.4359
  +1.930 +2.172  5  15 1933    0.9834 -0.0040 -0.5000
  +2.172 +2.322  5  15 1529    0.9780  0.0109 -0.5000
  +2.322 +2.500  5  15 1321    0.9449  0.0139 -0.5000
  +2.500 +2.650  5  15 1108    0.8378  0.1310  0.5000
  +2.650 +2.853  5  15  956    0.8438 -0.0168  0.5000
  +2.853 +2.964  5  15  781    0.8871 -0.1649  0.4998
  +2.964 +3.139  5  15  700    0.9105  0.0512  0.4963
  +3.139 +3.314  5  15  588    0.9784 -0.0703  0.0070
  +3.314 +3.489  5  15  493    0.9906 -0.1127  0.0070
  +3.489 +3.839  5  15  414    0.9628 -0.0236  0.0072
  +3.839 +4.013  5  15  292    0.9409  0.0091  0.0066
  +4.013 +4.583  5  15  245    0.9359  0.0311  0.0075
  +4.583 +5.191  5  15  139    0.7803 -0.5596  0.5000
