{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  15  139    0.9918 -0.2791 -0.5000
  -4.583 -4.013  5  15  245    1.0226 -0.7478  0.0082
  -4.013 -3.839  5  15  292    0.9461 -0.0549  0.0076
  -3.839 -3.489  5  15  414    1.0133 -0.0214 -0.4955
  -3.489 -3.314  5  15  493    1.0183 -0.0805 -0.5000
  -3.314 -3.139  5  15  588    0.9733  0.2413 -0.5000
  -3.139 -2.964  5  15  700    0.9698  0.0161 -0.5000
  -2.964 -2.853  5  15  781    0.8350  0.0668  0.0599
  -2.853 -2.650  5  15  956    0.7848  0.1605  0.2810
  -2.650 -2.500  5  15 1108    0.8923 -0.0365 -0.1655
  -2.500 -2.322  5  15 1321    0.9361  0.0226 -0.5000
  -2.322 -2.172  5  15 1529    0.9759  0.0128 -0.5000
  -2.172 -1.930  5  15 1933    0.9928 -0.0280 -0.5000
  -1.930 -1.653  5  15 2511    0.9736  0.0088 -0.4209
  -1.653 -1.479  5  15 2946    0.9588  0.0105 -0.2359
  -1.479 -1.305  5  15 3435    0.9635  0.0352 -0.1034
  -1.305 -1.044  5  15 4259    0.9835  0.0208 -0.0804
  -1.044 -0.783  5  15 5141    0.9898  0.0076  0.0031
  -0.783 -0.522  5  15 5968    1.0029 -0.0008  0.0042
  -0.522 -0.261  5  15 6574    1.0090 -0.0088  0.0430
  -0.261 -0.000  5  15 6800    1.0116 -0.0141  0.0200
  +0.000 +0.261  5  15 6800    1.0116 -0.0141  0.0200
  +0.261 +0.522  5  15 6574    1.0090 -0.0088  0.0430
  +0.522 +0.783  5  15 5968    1.0029 -0.0008  0.0042
  +0.783 +1.044  5  15 5141    0.9898  0.0076  0.0031
  +1.044 +1.305  5  15 4259    0.9835  0.0208 -0.0804
  +1.305 +1.479  5  15 3435    0.9635  0.0352 -0.1034
  +1.479 +1.653  5  15 2946    0.9588  0.0105 -0.2359
  +1.653 +1.930  5  15 2511    0.9736  0.0088 -0.4209
  +1.930 +2.172  5  15 1933    0.9928 -0.0280 -0.5000
  +2.172 +2.322  5  15 1529    0.9759  0.0128 -0.5000
  +2.322 +2.500  5  15 1321    0.9361  0.0226 -0.5000
  +2.500 +2.650  5  15 1108    0.8923 -0.0365 -0.1655
  +2.650 +2.853  5  15  956    0.7848  0.1605  0.2810
  +2.853 +2.964  5  15  781    0.8350  0.0668  0.0599
  +2.964 +3.139  5  15  700    0.9698  0.0161 -0.5000
  +3.139 +3.314  5  15  588    0.9733  0.2413 -0.5000
  +3.314 +3.489  5  15  493    1.0183 -0.0805 -0.5000
  +3.489 +3.839  5  15  414    1.0133 -0.0214 -0.4955
  +3.839 +4.013  5  15  292    0.9461 -0.0549  0.0076
  +4.013 +4.583  5  15  245    1.0226 -0.7478  0.0082
  +4.583 +5.191  5  15  139    0.9918 -0.2791 -0.5000
