{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  15  139    0.9928 -0.2654 -0.5000
  -4.583 -4.013  5  15  245    1.1690 -2.3956  0.0130
  -4.013 -3.839  5  15  292    0.8252  0.5697  0.0088
  -3.839 -3.489  5  15  414    0.8960  0.2145  0.5000
  -3.489 -3.314  5  15  493    1.0108 -0.0682 -0.5000
  -3.314 -3.139  5  15  588    0.9647  0.1914 -0.5000
  -3.139 -2.964  5  15  700    0.9516 -0.0636 -0.5000
  -2.964 -2.853  5  15  781    0.7825  0.1910  0.3227
  -2.853 -2.650  5  15  956    0.7528  0.2818  0.5000
  -2.650 -2.500  5  15 1108    0.9464 -0.1385 -0.5000
  -2.500 -2.322  5  15 1321    0.9451  0.0038 -0.5000
  -2.322 -2.172  5  15 1529    0.9775  0.0103 -0.5000
  -2.172 -1.930  5  15 1933    0.9824 -0.0024 -0.5000
  -1.930 -1.653  5  15 2511    0.9742  0.0074 -0.4007
  -1.653 -1.479  5  15 2946    0.9601  0.0089 -0.2399
  -1.479 -1.305  5  15 3435    0.9708  0.0259 -0.1159
  -1.305 -1.044  5  15 4259    0.9837  0.0204 -0.0722
  -1.044 -0.783  5  15 5141    0.9888  0.0084  0.0161
  -0.783 -0.522  5  15 5968    1.0036 -0.0013 -0.0006
  -0.522 -0.261  5  15 6574    1.0098 -0.0093  0.0295
  -0.261 -0.000  5  15 6800    1.0103 -0.0127  0.0200
  +0.000 +0.261  5  15 6800    1.0103 -0.0127  0.0200
  +0.261 +0.522  5  15 6574    1.0098 -0.0093  0.0295
  +0.522 +0.783  5  15 5968    1.0036 -0.0013 -0.0006
  +0.783 +1.044  5  15 5141    0.9888  0.0084  0.0161
  +1.044 +1.305  5  15 4259    0.9837  0.0204 -0.0722
  +1.305 +1.479  5  15 3435    0.9708  0.0259 -0.1159
  +1.479 +1.653  5  15 2946    0.9601  0.0089 -0.2399
  +1.653 +1.930  5  15 2511    0.9742  0.0074 -0.4007
  +1.930 +2.172  5  15 1933    0.9824 -0.0024 -0.5000
  +2.172 +2.322  5  15 1529    0.9775  0.0103 -0.5000
  +2.322 +2.500  5  15 1321    0.9451  0.0038 -0.5000
  +2.500 +2.650  5  15 1108    0.9464 -0.1385 -0.5000
  +2.650 +2.853  5  15  956    0.7528  0.2818  0.5000
  +2.853 +2.964  5  15  781    0.7825  0.1910  0.3227
  +2.964 +3.139  5  15  700    0.9516 -0.0636 -0.5000
  +3.139 +3.314  5  15  588    0.9647  0.1914 -0.5000
  +3.314 +3.489  5  15  493    1.0108 -0.0682 -0.5000
  +3.489 +3.839  5  15  414    0.8960  0.2145  0.5000
  +3.839 +4.013  5  15  292    0.8252  0.5697  0.0088
  +4.013 +4.583  5  15  245    1.1690 -2.3956  0.0130
  +4.583 +5.191  5  15  139    0.9928 -0.2654 -0.5000
