{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  15  139    0.9928 -0.2654 -0.5000
  -4.583 -4.013  5  15  245    1.0000 -0.0100  0.0200
  -4.013 -3.839  5  15  292    1.0000 -0.0100  0.0200
  -3.839 -3.489  5  15  414    1.0000 -0.0100  0.0200
  -3.489 -3.314  5  15  493    1.0000 -0.0100  0.0200
  -3.314 -3.139  5  15  588    1.0000 -0.0100  0.0200
  -3.139 -2.964  5  15  700    1.0000 -0.0100  0.0200
  -2.964 -2.853  5  15  781    1.0000 -0.0100  0.0200
  -2.853 -2.650  5  15  956    1.0000 -0.0100  0.0200
  -2.650 -2.500  5  15 1108    1.1311 -0.3733 -0.5000
  -2.500 -2.322  5  15 1321    0.9438  0.0052 -0.5000
  -2.322 -2.172  5  15 1529    0.9761  0.0121 -0.5000
  -2.172 -1.930  5  15 1933    0.9818 -0.0014 -0.5000
  -1.930 -1.653  5  15 2511    0.9766  0.0056 -0.4232
  -1.653 -1.479  5  15 2946    0.9618  0.0074 -0.2598
  -1.479 -1.305  5  15 3435    0.9659  0.0328 -0.0930
  -1.305 -1.044  5  15 4259    0.9835  0.0209 -0.0740
  -1.044 -0.783  5  15 5141    0.9882  0.0090  0.0196
  -0.783 -0.522  5  15 5968    1.0040 -0.0018 -0.0017
  -0.522 -0.261  5  15 6574    1.0096 -0.0092  0.0340
  -0.261 -0.000  5  15 6800    1.0110 -0.0136  0.0167
  +0.000 +0.261  5  15 6800    1.0110 -0.0136  0.0167
  +0.261 +0.522  5  15 6574    1.0096 -0.0092  0.0340
  +0.522 +0.783  5  15 5968    1.0040 -0.0018 -0.0017
  +0.783 +1.044  5  15 5141    0.9882  0.0090  0.0196
  +1.044 +1.305  5  15 4259    0.9835  0.0209 -0.0740
  +1.305 +1.479  5  15 3435    0.9659  0.0328 -0.0930
  +1.479 +1.653  5  15 2946    0.9618  0.0074 -0.2598
  +1.653 +1.930  5  15 2511    0.9766  0.0056 -0.4232
  +1.930 +2.172  5  15 1933    0.9818 -0.0014 -0.5000
  +2.172 +2.322  5  15 1529    0.9761  0.0121 -0.5000
  +2.322 +2.500  5  15 1321    0.9438  0.0052 -0.5000
  +2.500 +2.650  5  15 1108    1.1311 -0.3733 -0.5000
  +2.650 +2.853  5  15  956    1.0000 -0.0100  0.0200
  +2.853 +2.964  5  15  781    1.0000 -0.0100  0.0200
  +2.964 +3.139  5  15  700    1.0000 -0.0100  0.0200
  +3.139 +3.314  5  15  588    1.0000 -0.0100  0.0200
  +3.314 +3.489  5  15  493    1.0000 -0.0100  0.0200
  +3.489 +3.839  5  15  414    1.0000 -0.0100  0.0200
  +3.839 +4.013  5  15  292    1.0000 -0.0100  0.0200
  +4.013 +4.583  5  15  245    1.0000 -0.0100  0.0200
  +4.583 +5.191  5  15  139    0.9928 -0.2654 -0.5000
