{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  15  139    0.9928 -0.2654 -0.5000
  -4.583 -4.013  5  15  245    1.0920 -1.6564  0.0128
  -4.013 -3.839  5  15  292    0.7778  1.0454  0.0077
  -3.839 -3.489  5  15  414    1.0227 -0.3768  0.0082
  -3.489 -3.314  5  15  493    0.9167  0.2709  0.0077
  -3.314 -3.139  5  15  588    0.9475  0.0413  0.0071
  -3.139 -2.964  5  15  700    0.9786 -0.0266 -0.5000
  -2.964 -2.853  5  15  781    0.9184 -0.3944  0.4999
  -2.853 -2.650  5  15  956    0.8289  0.0059  0.5000
  -2.650 -2.500  5  15 1108    1.0169 -0.2535 -0.5000
  -2.500 -2.322  5  15 1321    0.9437  0.0053 -0.5000
  -2.322 -2.172  5  15 1529    0.9759  0.0122 -0.5000
  -2.172 -1.930  5  15 1933    0.9811 -0.0008 -0.5000
  -1.930 -1.653  5  15 2511    0.9722  0.0095 -0.3892
  -1.653 -1.479  5  15 2946    0.9604  0.0089 -0.2420
  -1.479 -1.305  5  15 3435    0.9656  0.0330 -0.0891
  -1.305 -1.044  5  15 4259    0.9826  0.0223 -0.0640
  -1.044 -0.783  5  15 5141    0.9884  0.0088  0.0181
  -0.783 -0.522  5  15 5968    1.0036 -0.0015  0.0002
  -0.522 -0.261  5  15 6574    1.0098 -0.0094  0.0299
  -0.261 -0.000  5  15 6800    1.0111 -0.0136  0.0185
  +0.000 +0.261  5  15 6800    1.0111 -0.0136  0.0185
  +0.261 +0.522  5  15 6574    1.0098 -0.0094  0.0299
  +0.522 +0.783  5  15 5968    1.0036 -0.0015  0.0002
  +0.783 +1.044  5  15 5141    0.9884  0.0088  0.0181
  +1.044 +1.305  5  15 4259    0.9826  0.0223 -0.0640
  +1.305 +1.479  5  15 3435    0.9656  0.0330 -0.0891
  +1.479 +1.653  5  15 2946    0.9604  0.0089 -0.2420
  +1.653 +1.930  5  15 2511    0.9722  0.0095 -0.3892
  +1.930 +2.172  5  15 1933    0.9811 -0.0008 -0.5000
  +2.172 +2.322  5  15 1529    0.9759  0.0122 -0.5000
  +2.322 +2.500  5  15 1321    0.9437  0.0053 -0.5000
  +2.500 +2.650  5  15 1108    1.0169 -0.2535 -0.5000
  +2.650 +2.853  5  15  956    0.8289  0.0059  0.5000
  +2.853 +2.964  5  15  781    0.9184 -0.3944  0.4999
  +2.964 +3.139  5  15  700    0.9786 -0.0266 -0.5000
  +3.139 +3.314  5  15  588    0.9475  0.0413  0.0071
  +3.314 +3.489  5  15  493    0.9167  0.2709  0.0077
  +3.489 +3.839  5  15  414    1.0227 -0.3768  0.0082
  +3.839 +4.013  5  15  292    0.7778  1.0454  0.0077
  +4.013 +4.583  5  15  245    1.0920 -1.6564  0.0128
  +4.583 +5.191  5  15  139    0.9928 -0.2654 -0.5000
