{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  15  139    0.8211  0.2316  0.5000
  -4.583 -4.013  5  15  245    0.8835  0.2956  0.0072
  -4.013 -3.839  5  15  292    0.9759 -0.3895  0.0074
  -3.839 -3.489  5  15  414    1.0017 -0.1157 -0.5000
  -3.489 -3.314  5  15  493    0.9955  0.0750 -0.5000
  -3.314 -3.139  5  15  588    0.8809  0.2080  0.5000
  -3.139 -2.964  5  15  700    0.8934  0.3988 -0.5000
  -2.964 -2.853  5  15  781    0.7563  0.2679  0.5000
  -2.853 -2.650  5  15  956    0.7503  0.1947  0.4268
  -2.650 -2.500  5  15 1108    0.8162  0.1423  0.2835
  -2.500 -2.322  5  15 1321    0.9272  0.0237 -0.5000
  -2.322 -2.172  5  15 1529    0.9651  0.0194 -0.5000
  -2.172 -1.930  5  15 1933    0.9713  0.0056 -0.5000
  -1.930 -1.653  5  15 2511    0.9689  0.0094 -0.4156
  -1.653 -1.479  5  15 2946    0.9653  0.0004 -0.3344
  -1.479 -1.305  5  15 3435    0.9656  0.0320 -0.1382
  -1.305 -1.044  5  15 4259    0.9827  0.0205 -0.0640
  -1.044 -0.783  5  15 5141    0.9933  0.0035 -0.0339
  -0.783 -0.522  5  15 5968    0.9996  0.0021  0.0238
  -0.522 -0.261  5  15 6574    1.0102 -0.0082  0.0193
  -0.261 -0.000  5  15 6800    1.0117 -0.0142  0.0371
  +0.000 +0.261  5  15 6800    1.0117 -0.0142  0.0371
  +0.261 +0.522  5  15 6574    1.0102 -0.0082  0.0193
  +0.522 +0.783  5  15 5968    0.9996  0.0021  0.0238
  +0.783 +1.044  5  15 5141    0.9933  0.0035 -0.0339
  +1.044 +1.305  5  15 4259    0.9827  0.0205 -0.0640
  +1.305 +1.479  5  15 3435    0.9656  0.0320 -0.1382
  +1.479 +1.653  5  15 2946    0.9653  0.0004 -0.3344
  +1.653 +1.930  5  15 2511    0.9689  0.0094 -0.4156
  +1.930 +2.172  5  15 1933    0.9713  0.0056 -0.5000
  +2.172 +2.322  5  15 1529    0.9651  0.0194 -0.5000
  +2.322 +2.500  5  15 1321    0.9272  0.0237 -0.5000
  +2.500 +2.650  5  15 1108    0.8162  0.1423  0.2835
  +2.650 +2.853  5  15  956    0.7503  0.1947  0.4268
  +2.853 +2.964  5  15  781    0.7563  0.2679  0.5000
  +2.964 +3.139  5  15  700    0.8934  0.3988 -0.5000
  +3.139 +3.314  5  15  588    0.8809  0.2080  0.5000
  +3.314 +3.489  5  15  493    0.9955  0.0750 -0.5000
  +3.489 +3.839  5  15  414    1.0017 -0.1157 -0.5000
  +3.839 +4.013  5  15  292    0.9759 -0.3895  0.0074
  +4.013 +4.583  5  15  245    0.8835  0.2956  0.0072
  +4.583 +5.191  5  15  139    0.8211  0.2316  0.5000
