{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  15  139    0.8275  0.2175  0.5000
  -4.583 -4.013  5  15  245    1.0000 -0.0100  0.0200
  -4.013 -3.839  5  15  292    1.0000 -0.0100  0.0200
  -3.839 -3.489  5  15  414    1.0000 -0.0100  0.0200
  -3.489 -3.314  5  15  493    1.0000 -0.0100  0.0200
  -3.314 -3.139  5  15  588    1.0000 -0.0100  0.0200
  -3.139 -2.964  5  15  700    1.0000 -0.0100  0.0200
  -2.964 -2.853  5  15  781    1.0000 -0.0100  0.0200
  -2.853 -2.650  5  15  956    1.0000 -0.0100  0.0200
  -2.650 -2.500  5  15 1108    0.7744  0.2261 -0.5000
  -2.500 -2.322  5  15 1321    0.9281  0.0229 -0.5000
  -2.322 -2.172  5  15 1529    0.9664  0.0179 -0.5000
  -2.172 -1.930  5  15 1933    0.9722  0.0052 -0.5000
  -1.930 -1.653  5  15 2511    0.9747  0.0040 -0.4637
  -1.653 -1.479  5  15 2946    0.9648  0.0011 -0.3222
  -1.479 -1.305  5  15 3435    0.9670  0.0298 -0.1324
  -1.305 -1.044  5  15 4259    0.9821  0.0214 -0.0600
  -1.044 -0.783  5  15 5141    0.9928  0.0042 -0.0265
  -0.783 -0.522  5  15 5968    0.9998  0.0023  0.0233
  -0.522 -0.261  5  15 6574    1.0103 -0.0082  0.0133
  -0.261 -0.000  5  15 6800    1.0126 -0.0153  0.0306
  +0.000 +0.261  5  15 6800    1.0126 -0.0153  0.0306
  +0.261 +0.522  5  15 6574    1.0103 -0.0082  0.0133
  +0.522 +0.783  5  15 5968    0.9998  0.0023  0.0233
  +0.783 +1.044  5  15 5141    0.9928  0.0042 -0.0265
  +1.044 +1.305  5  15 4259    0.9821  0.0214 -0.0600
  +1.305 +1.479  5  15 3435    0.9670  0.0298 -0.1324
  +1.479 +1.653  5  15 2946    0.9648  0.0011 -0.3222
  +1.653 +1.930  5  15 2511    0.9747  0.0040 -0.4637
  +1.930 +2.172  5  15 1933    0.9722  0.0052 -0.5000
  +2.172 +2.322  5  15 1529    0.9664  0.0179 -0.5000
  +2.322 +2.500  5  15 1321    0.9281  0.0229 -0.5000
  +2.500 +2.650  5  15 1108    0.7744  0.2261 -0.5000
  +2.650 +2.853  5  15  956    1.0000 -0.0100  0.0200
  +2.853 +2.964  5  15  781    1.0000 -0.0100  0.0200
  +2.964 +3.139  5  15  700    1.0000 -0.0100  0.0200
  +3.139 +3.314  5  15  588    1.0000 -0.0100  0.0200
  +3.314 +3.489  5  15  493    1.0000 -0.0100  0.0200
  +3.489 +3.839  5  15  414    1.0000 -0.0100  0.0200
  +3.839 +4.013  5  15  292    1.0000 -0.0100  0.0200
  +4.013 +4.583  5  15  245    1.0000 -0.0100  0.0200
  +4.583 +5.191  5  15  139    0.8275  0.2175  0.5000
