{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  15  139    0.8275  0.2175  0.5000
  -4.583 -4.013  5  15  245    0.8079  1.1781  0.0081
  -4.013 -3.839  5  15  292    0.9133 -0.1766  0.0075
  -3.839 -3.489  5  15  414    0.9600 -0.2143  0.0072
  -3.489 -3.314  5  15  493    0.9199  0.2951  0.0076
  -3.314 -3.139  5  15  588    0.9168  0.2002  0.0074
  -3.139 -2.964  5  15  700    1.0037 -0.1030 -0.5000
  -2.964 -2.853  5  15  781    0.9123 -0.0211 -0.4999
  -2.853 -2.650  5  15  956    0.9190 -0.2082 -0.5000
  -2.650 -2.500  5  15 1108    0.8602  0.0845 -0.0489
  -2.500 -2.322  5  15 1321    0.9264  0.0250 -0.5000
  -2.322 -2.172  5  15 1529    0.9644  0.0205 -0.5000
  -2.172 -1.930  5  15 1933    0.9708  0.0067 -0.5000
  -1.930 -1.653  5  15 2511    0.9724  0.0066 -0.4530
  -1.653 -1.479  5  15 2946    0.9630  0.0030 -0.3115
  -1.479 -1.305  5  15 3435    0.9675  0.0295 -0.1393
  -1.305 -1.044  5  15 4259    0.9816  0.0219 -0.0611
  -1.044 -0.783  5  15 5141    0.9936  0.0036 -0.0338
  -0.783 -0.522  5  15 5968    0.9996  0.0024  0.0242
  -0.522 -0.261  5  15 6574    1.0103 -0.0082  0.0166
  -0.261 -0.000  5  15 6800    1.0123 -0.0151  0.0363
  +0.000 +0.261  5  15 6800    1.0123 -0.0151  0.0363
  +0.261 +0.522  5  15 6574    1.0103 -0.0082  0.0166
  +0.522 +0.783  5  15 5968    0.9996  0.0024  0.0242
  +0.783 +1.044  5  15 5141    0.9936  0.0036 -0.0338
  +1.044 +1.305  5  15 4259    0.9816  0.0219 -0.0611
  +1.305 +1.479  5  15 3435    0.9675  0.0295 -0.1393
  +1.479 +1.653  5  15 2946    0.9630  0.0030 -0.3115
  +1.653 +1.930  5  15 2511    0.9724  0.0066 -0.4530
  +1.930 +2.172  5  15 1933    0.9708  0.0067 -0.5000
  +2.172 +2.322  5  15 1529    0.9644  0.0205 -0.5000
  +2.322 +2.500  5  15 1321    0.9264  0.0250 -0.5000
  +2.500 +2.650  5  15 1108    0.8602  0.0845 -0.0489
  +2.650 +2.853  5  15  956    0.9190 -0.2082 -0.5000
  +2.853 +2.964  5  15  781    0.9123 -0.0211 -0.4999
  +2.964 +3.139  5  15  700    1.0037 -0.1030 -0.5000
  +3.139 +3.314  5  15  588    0.9168  0.2002  0.0074
  +3.314 +3.489  5  15  493    0.9199  0.2951  0.0076
  +3.489 +3.839  5  15  414    0.9600 -0.2143  0.0072
  +3.839 +4.013  5  15  292    0.9133 -0.1766  0.0075
  +4.013 +4.583  5  15  245    0.8079  1.1781  0.0081
  +4.583 +5.191  5  15  139    0.8275  0.2175  0.5000
