#Data tag : 24v2 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/pb),recorded(/pb)
382229:9806,06/20/24 09:39:20,313,HLT_Photon30EB_TightID_TightIso_v10,0.133375862,0.125960488
382250:9808,06/20/24 16:24:45,890,HLT_Photon30EB_TightID_TightIso_v10,1.249350046,1.195963814
382255:9810,06/21/24 04:47:31,97,HLT_Photon30EB_TightID_TightIso_v10,0.171393649,0.157398376
382256:9810,06/21/24 05:26:51,67,HLT_Photon30EB_TightID_TightIso_v10,0.173246093,0.153678966
382257:9810,06/21/24 06:11:04,70,HLT_Photon30EB_TightID_TightIso_v10,0.181008827,0.161268614
382258:9810,06/21/24 06:41:16,1147,HLT_Photon30EB_TightID_TightIso_v10,2.778599933,2.664254610
382262:9810,06/21/24 14:31:56,253,HLT_Photon30EB_TightID_TightIso_v10,0.441830151,0.426152709
382298:9812,06/21/24 19:39:36,53,HLT_Photon30EB_TightID_TightIso_v10,0.082337069,0.079849271
382299:9812,06/21/24 20:38:10,808,HLT_Photon30EB_TightID_TightIso_v10,2.143253303,1.980034188
382300:9812,06/22/24 01:55:26,1186,HLT_Photon30EB_TightID_TightIso_v10,2.132591551,2.066050811
382313:9813,06/22/24 11:50:52,389,HLT_Photon30EB_TightID_TightIso_v10,0.970948357,0.924416607
382314:9813,06/22/24 14:26:00,295,HLT_Photon30EB_TightID_TightIso_v10,0.787622661,0.746609993
382328:9816,06/22/24 22:38:19,90,HLT_Photon30EB_TightID_TightIso_v10,0.189149750,0.172614585
382329:9816,06/22/24 23:16:37,150,HLT_Photon30EB_TightID_TightIso_v10,0.400326049,0.376617834
382343:9819,06/23/24 13:01:16,2208,HLT_Photon30EB_TightID_TightIso_v10,5.485869288,5.170224092
382344:9819,06/24/24 03:22:08,355,HLT_Photon30EB_TightID_TightIso_v10,0.718021760,0.693080739
382504:9832,06/27/24 14:22:09,349,HLT_Photon30EB_TightID_TightIso_v10,0.853253571,0.807842780
382568:9838,06/28/24 23:55:16,399,HLT_Photon30EB_TightID_TightIso_v10,1.011451388,0.952899894
382580:9840,06/29/24 07:43:51,1711,HLT_Photon30EB_TightID_TightIso_v10,4.013700562,3.825369782
382594:9842,06/30/24 02:29:05,1406,HLT_Photon30EB_TightID_TightIso_v10,3.481442037,3.314406092
382595:9842,06/30/24 11:37:12,854,HLT_Photon30EB_TightID_TightIso_v10,1.439081317,1.394884939
382617:9843,06/30/24 19:33:03,701,HLT_Photon30EB_TightID_TightIso_v10,1.712608238,1.634261363
382626:9846,07/01/24 07:24:48,359,HLT_Photon30EB_TightID_TightIso_v10,0.903121958,0.851538231
382649:9848,07/01/24 14:36:50,482,HLT_Photon30EB_TightID_TightIso_v10,1.219642610,1.113600373
382650:9848,07/01/24 17:47:17,234,HLT_Photon30EB_TightID_TightIso_v10,0.635777706,0.602998925
382654:9849,07/01/24 21:54:58,1641,HLT_Photon30EB_TightID_TightIso_v10,4.175060208,3.929607805
382655:9849,07/02/24 08:36:08,394,HLT_Photon30EB_TightID_TightIso_v10,0.712912453,0.687187236
382656:9849,07/02/24 11:12:31,294,HLT_Photon30EB_TightID_TightIso_v10,0.445589307,0.429264020
382679:9851,07/02/24 21:51:44,71,HLT_Photon30EB_TightID_TightIso_v10,0.116033393,0.113147735
382684:9852,07/03/24 00:51:55,1164,HLT_Photon30EB_TightID_TightIso_v10,3.058832589,2.863844976
382685:9852,07/03/24 08:26:33,482,HLT_Photon30EB_TightID_TightIso_v10,1.009934808,0.969077234
382686:9852,07/03/24 11:40:25,141,HLT_Photon30EB_TightID_TightIso_v10,0.246200801,0.238839367
382725:9857,07/03/24 21:33:58,369,HLT_Photon30EB_TightID_TightIso_v10,0.920039599,0.863509476
382729:9859,07/04/24 06:43:25,55,HLT_Photon30EB_TightID_TightIso_v10,0.088724700,0.083253356
382730:9859,07/04/24 07:13:28,52,HLT_Photon30EB_TightID_TightIso_v10,0.132365174,0.122742975
382750:9860,07/04/24 11:35:31,530,HLT_Photon30EB_TightID_TightIso_v10,1.391943952,1.300210123
382752:9860,07/04/24 15:08:41,709,HLT_Photon30EB_TightID_TightIso_v10,1.864470483,1.765879179
382769:9861,07/05/24 00:19:42,1534,HLT_Photon30EB_TightID_TightIso_v10,3.742421411,3.538746616
382770:9861,07/05/24 10:19:22,586,HLT_Photon30EB_TightID_TightIso_v10,0.925467132,0.897139418
382791:9862,07/05/24 17:32:53,105,HLT_Photon30EB_TightID_TightIso_v10,0.177128730,0.167353283
382792:9862,07/05/24 18:18:12,80,HLT_Photon30EB_TightID_TightIso_v10,0.216413021,0.173748976
382794:9862,07/05/24 18:54:44,14,HLT_Photon30EB_TightID_TightIso_v10,0.037914753,0.028992004
382795:9862,07/05/24 19:03:19,474,HLT_Photon30EB_TightID_TightIso_v10,1.284753182,1.204047734
382799:9864,07/06/24 01:44:41,615,HLT_Photon30EB_TightID_TightIso_v10,1.546600727,1.455237460
382810:9865,07/06/24 09:09:34,70,HLT_Photon30EB_TightID_TightIso_v10,0.105168661,0.099983048
382811:9865,07/06/24 09:42:19,396,HLT_Photon30EB_TightID_TightIso_v10,1.071741765,1.001875859
382830:9867,07/06/24 23:56:53,75,HLT_Photon30EB_TightID_TightIso_v10,0.129267316,0.124407961
382834:9869,07/07/24 04:03:04,760,HLT_Photon30EB_TightID_TightIso_v10,1.977757896,1.849689197
382856:9871,07/07/24 12:22:27,421,HLT_Photon30EB_TightID_TightIso_v10,1.085620119,1.007161196
382878:9873,07/07/24 20:54:09,853,HLT_Photon30EB_TightID_TightIso_v10,2.230758666,2.095319321
382913:9877,07/08/24 14:41:36,2287,HLT_Photon30EB_TightID_TightIso_v10,4.900098112,4.659729620
382921:9878,07/09/24 08:24:31,1185,HLT_Photon30EB_TightID_TightIso_v10,3.130459194,2.931719377
382922:9878,07/09/24 16:44:18,83,HLT_Photon30EB_TightID_TightIso_v10,0.188800625,0.162056570
382924:9878,07/09/24 17:25:21,247,HLT_Photon30EB_TightID_TightIso_v10,0.506051671,0.484765894
382937:9879,07/09/24 21:42:48,473,HLT_Photon30EB_TightID_TightIso_v10,1.219605151,1.150956336
382960:9883,07/10/24 07:52:18,564,HLT_Photon30EB_TightID_TightIso_v10,1.464668803,1.367857143
383028:9885,07/11/24 01:48:44,89,HLT_Photon30EB_TightID_TightIso_v10,0.185625302,0.173802607
383034:9886,07/11/24 05:08:29,666,HLT_Photon30EB_TightID_TightIso_v10,1.745718567,1.618284236
383036:9886,07/11/24 09:34:23,58,HLT_Photon30EB_TightID_TightIso_v10,0.156804972,0.143831998
